glcat_mcat_id,glcat_mcat_name,glcat_mcat_is_quantity_enabled,glcat_mcat_is_product
275485,Food Truck Fabrication Service,,S
275545,Men Round Neck Shirt Customization Service,,S
276402,Spent Caustic Wastewater Treatment Service,,S
284673,Wooden Work Service,,S
444532,TMT Test,,S
652167,Pressure Cooker Repair Service,,S
651953,RO Plant Installation Service,2,S
98777,Airplane Charter Service,0,S
104922,Commodities Trading Service,0,S
107042,Real Estate Law,0,S
111393,Lockout Signs,,S
111445,IEC Number Allotment Service,,S
116366,Woodworking Cold Press,2,P
118736,Floor Painting Service,,S
122498,Plasma Thawing Bath,2,P
134165,Gas Flare System,2,P
136110,Canal Survey,,S
214571,Nose Piercing,0,S
215375,Etron E Rickshaw & Loader,2,P
217032,Thermal Mass Flow Meter,2,P
220315,Dyson Vacuum Cleaners,2,P
224421,Convection Microwave Oven,2,P
231252,Led Bulb Bee Certification Service,,S
231269,Certification Rdso,,S
231362,Azo Dye Analysis Service,,S
231582,New Registration Service,,S
383522,Laser Cladding Service,,S
657311,AC Piping Services,,S
136722,Pneumatic Valve Repair,,S
136873,Partition Slotting Machine,2,P
141965,Power Cultivator,2,P
141968,Press Line Machine,2,P
145427,Flower Delivery Service,0,S
146433,Cabinet Washing Machine,2,P
147549,Vacuum Mixer Homogenizer,2,P
148012,Water Fountain Repairing Services,,S
261983,Vrv Vrf Service,,S
261986,Humidity Chamber Service,,S
263842,Vaporizer Service,,S
265015,Gazebo Fabrication Work,,S
266586,Namkeen Packing Pouch Designing Service,,S
268751,Injector Pin Coating Service,,S
271429,Foldable Outdoor Awning Shed Repair Service,,S
272791,Solid Waste Management Treatment Service,,S
273031,Stainless Steel Railing Fabricator Service,,S
273060,Stainless Steel Titanium Fabrication,,S
275480,Customized Trolley Fabrication Service,,S
275540,Cotton Shirt Screen Printing Service,,S
276700,Goa Wedding Package Service,,S
332460,Garden Landscaping Design Service,,S
358797,Customized Logo Designer Service,,S
360976,Mobile Back Cover Printing Service,,S
361352,Multi Colour Label Printing Service,,S
362872,Pamphlet Flex Brochure Printing Service,,S
366386,Flex Sign Board Service,,S
347368,Custom Balloon Printing Service,,S
416986,Approach Road Construction Service,,S
442141,Ultranet FTTH Services,,S
650638,Traffic Survey,,S
652780,Acer Laptop Battery,2,P
653684,Trade Loan,,S
37943,Security Guards,0,S
39606,Termite Control,,S
42336,Bariatric Surgery,0,S
43529,Balancing Services,0,S
43538,PDF Conversion Services,0,S
43687,Gold Refining,,S
105857,Endoscope,2,P
106619,Foot Spa Therapy,,S
111385,Sequential Meter Marker,2,P
113756,Temple Domes,2,P
113913,Milk Tanker Rental,,S
114125,Desktop Rental,,S
119029,LPG Cylinder Plant,2,P
119115,Bulk Density Apparatus,2,P
122300,GSM Scale,2,P
122820,Carestream CR System,2,P
135874,Biofuel Testing Services,0,S
136532,Electro Technical Calibration,0,S
56233,Champagne Leafing,,S
178048,Pellet Hot Water Generator,2,P
178530,Wood Turning Lathe Machines,2,P
180766,Stage Setup Services,0,S
182812,Three Burner Range,2,P
184208,Computer Security Services,,S
189466,Kawasaki Bike,2,P
192400,UV Interdeck,2,P
193657,Bijlipay Billing Machines,2,P
204584,RMS EEG Machine,2,P
137830,Ring Spinning Machine,2,P
137957,Energy Storage Solutions,0,S
138880,X Ray Camera,2,P
222504,Bose Subwoofer,2,P
222956,Internal Line Up Pneumatic Clamp,2,P
229601,Concrete Core Strength Core Cutting Test Concrete Service,,S
230420,Air Sea Cargo Agent,,S
230560,Chiller Annual Maintenance Contract Service,,S
231767,Fanuc Display Controller Repair,,S
231862,Cuplock Scaffolding Frame Rental Service,,S
231877,Airport Custom Clearing Service,,S
232132,Customized E Commerce Development Service,,S
232290,Collapsible Gate Repair Service,,S
233182,Obtain Nabl Laboratory Accreditation,,S
233675,Psa Nitrogen Gas Plant Maintenance Service,,S
233780,New Development,,S
234065,3D Epoxy Flooring Service Home,,S
234387,Shuttering Scaffolding Rental,,S
234851,Skating Sport Flooring Service,,S
234955,Service Tax Excise Advocate Consultant,,S
235029,Antimicrobial Disinfectant Testing Service,,S
235136,Cosmetic Contract Third Manufacturing Service,,S
235161,Carpet Tile Service,,S
265664,Corporate Mug Printing Service,,S
270895,Granite Sandblasting Service,,S
273519,Steel Building Structure Fabrication Service,,S
274411,Brake Disc Fusion Spray Coating Service,,S
276633,Haemodialysis Water Treatment Service,,S
276634,Ht Etp Water Treatment Service,,S
235336,15 Foot Truck Transport Service,,S
350892,Resin Laminate Digital Door Design Paper,,S
8950,Radio Frequency Systems,2,P
16257,High Frequency Welder,2,P
19092,Slide Gate Operator,2,P
20674,Billing Machines,2,P
20982,Vacuum Contactors,2,P
23141,Call Centers,0,S
25820,Container Tilters,2,P
442103,Tikona MPLS Networking Services,,S
442145,Ultranet VoIP Services,,S
102064,Residential Property Rentals,0,S
106912,Degreasing Machine,2,P
110465,Stainless Steel Juicer,2,P
112626,Mini CD Replication Service,0,S
116337,Water Distilling Apparatus,2,P
117756,Acid Zinc Plating,,S
132104,Bomb Suppression Blanket,2,P
29206,Garden Design,0,S
155518,Roll Marking Machine,2,P
155641,Roundup Bun Toaster,2,P
156183,Batch Foaming Machine,2,P
157967,Marble Cutting Services,,S
158892,Furnace Repair Service,,S
164423,Earthmoving Bucket,2,P
